Township,Region,Latitude,Longitude,Suitable Crops,Water Availability (L/day),Fertilizer Type,Average Market Price (MMK/kg)
Township_1,Mandalay,21.574839,96.358457,"Mango, Onion, Peanut",1345,Chemical,1050 – 3250
Township_2,Sagaing,19.285937,95.438751,"Maize, Cotton, Beans",1182,Hybrid,900 – 2700
Township_3,Bago,18.675309,96.284729,"Sugarcane, Maize, Rice",1579,Organic,1300 – 3550
Township_4,Magway,20.025374,94.825193,"Groundnut, Beans, Sesame",1011,Hybrid,1120 – 3430
Township_5,Kayah,18.735619,97.489834,"Sesame, Groundnut, Rice",1379,Chemical,1400 – 3650
Township_6,Kayin,16.899205,97.639214,"Rice, Banana, Cassava",1472,Organic,900 – 2500
Township_7,Mon,16.586982,97.542392,"Rubber, Cashew, Betel Nut",1553,Organic,1400 – 3900
Township_8,Ayeyarwady,17.635483,95.415839,"Chickpea, Rice, Sunflower",1263,Hybrid,700 – 2250
Township_9,Naypyidaw,19.771624,96.106348,"Vegetables, Paddy, Mango",1325,Chemical,1800 – 3100
Township_10,Shan,21.073948,97.041834,"Potato, Tea, Strawberry",1432,Organic,1600 – 4100
Township_11,Yangon,16.785294,96.150843,"Vegetables, Paddy, Lentil",1721,Chemical,1300 – 2800
Township_12,Tanintharyi,12.984135,99.868433,"Rubber, Oil Palm, Durian",1583,Organic,1500 – 3700
Township_13,Rakhine,20.345983,93.350973,"Rice, Chili, Areca Nut",1159,Hybrid,800 – 2750
Township_14,Chin,21.140284,93.597354,"Potato, Corn, Millet",1047,Organic,900 – 2400
Township_15,Ayeyarwady,17.497432,95.348191,"Rice, Chickpea, Sunflower",1293,Chemical,700 – 2200
Township_16,Bago,18.547264,96.266258,"Sugarcane, Rice, Maize",1389,Hybrid,1100 – 3200
Township_17,Magway,20.134962,94.930274,"Sesame, Groundnut, Beans",1072,Chemical,1150 – 3400
Township_18,Kayah,18.789824,97.511623,"Rice, Sesame, Groundnut",1360,Organic,1300 – 3500
Township_19,Kayin,16.887253,97.641739,"Banana, Cassava, Rice",1420,Chemical,900 – 2600
Township_20,Mon,16.581927,97.539127,"Cashew, Rubber, Betel Nut",1567,Organic,1500 – 3950
Township_21,Ayeyarwady,17.615839,95.424918,"Rice, Chickpea, Sunflower",1257,Hybrid,700 – 2300
Township_22,Naypyidaw,19.763951,96.102948,"Mango, Vegetables, Paddy",1331,Chemical,1700 – 3000
Township_23,Shan,21.015489,97.035193,"Tea, Potato, Strawberry",1442,Organic,1550 – 4000
Township_24,Yangon,16.78293,96.176541,"Paddy, Vegetables, Lentil",1730,Chemical,1250 – 2850
Township_25,Tanintharyi,12.963759,99.865392,"Oil Palm, Rubber, Durian",1602,Organic,1450 – 3750
Township_26,Rakhine,20.378435,93.340983,"Areca Nut, Chili, Rice",1190,Hybrid,800 – 2800
Township_27,Chin,21.183543,93.592345,"Millet, Potato, Corn",1080,Organic,950 – 2500
Township_28,Ayeyarwady,17.535293,95.375481,"Chickpea, Rice, Sunflower",1275,Chemical,700 – 2250
Township_29,Bago,18.622348,96.294102,"Maize, Rice, Sugarcane",1351,Hybrid,1150 – 3200
