S.N,Crop,Unit,2018 (Apr-Sep),2018-2019,2019-2020,2020-2021,2021-2022 (Apr-Mar),2022-2023 (Apr-Mar),Latest Price MMK (May 2024)
1,Paddy Summer,100 Basket,662900,460000,520000,700000,650000,951000,
1,Paddy Monsoon,100 Basket,750400,500000,500000,650000,810000,910000,320800
2,Wheat,Ton,607267,518500,497700,808860,847500,1058760,
3,Maize Grain,Ton,332357,293100,305440,458260,423000,754000,
3,Maize Cobs,100cobs,11700,17300,18000,24000,25000,25000,
3,Maize Leaf sheath,Ton,-,-,-,-,-,-,
4,Millet,Ton,375391,407000,415000,-,-,-,
5,Matpe(Black gram),Ton,558704,760480,995550,1333590,1675000,2189000,2984000
5,Pedisein(Green gram),Ton,764248,1016000,1119990,1360530,1320000,1916000,
5,Butter bean,Ton,1010123,922600,941400,1391890,1395700,1397000,
5,Bocate(Cow pea),Ton,572953,889000,902200,951180,987500,1002000,
5,Sultani,Ton,665268,800000,811500,1354200,1277000,1477471,
5,Sultapya,Ton,827730,800000,811500,1288800,1254400,1487441,
5,Peboke(Soy bean),Ton,691482,684400,684440,1149500,1140000,1742873,
5,Gram(Chick pea),Ton,683835,954600,957600,1381080,1570000,1953840,4164000
5,Pelun,Ton,708717,904000,902200,1180600,1195500,1200000,
5,"Pesi,ngon(Pigeon pea)",Ton,656048,653300,715500,1076100,1210000,2231000,3996000
5,Peyin(Rice bean),Ton,507509,741500,565000,880400,950000,997500,
5,Pebyugalc(Duffin bean),Ton,795010,876500,487000,1276900,1210000,1210000,
5,Pegyi(Lablab bean),Ton,976819,1091100,1038820,1633300,1665000,1665000,
5,Sadawpe(Garden pea),Ton,777177,933300,1695490,1667600,2787180,
5,Peyazar(Lentil bean),Ton,582628,1711000,1804000,1512700,1557000,1557000,
5,Penauk(Krishna mung),Ton,559980,1160400,1244400,1259900,1358000,1358000,
5,Pegya(Lima bean),Ton,640533,844000,941400,-,-,-,
6,Groundnut Rain,Ton,1369984,1991104,1075100,1147500,1400000,1450000,
6,Groundnut Winter,Ton,1573645,1711000,1075100,1147500,1400000,1450000,
7,Sesamum Early,Ton,1669363,-,-,-,2115000,3659000,
7,Sesamum Late,Ton,1690600,1737500,2157040,2163800,2115000,3700000,
8,Mustard,Ton,948660,1047600,1050000,-,-,-,
9,Sunflower,Ton,845040,995500,1189970,1470000,1780000,2356000,
10,Cotton Wagyi,Ton,612390,673629,734868,734868,796107,1286019,
10,Cotton Mahlaing 5/6,Ton,612390,673629,734868,734868,796107,1286019,
10,Cotton Long staple,Ton,734868,796107,811417,887965,1041063,1469736,
11,Jute Special grade,Ton,-,-,-,-,-,-,
11,Jute First grade,Ton,420000,489912,489912,489912,489912,551151,
11,Jute Second grade,Ton,306200,367434,367434,367434,367434,367434,
11,Jute Third grade,Ton,-,-,-,-,-,-,
12,Kenaf(First grade),Ton,420000,489912,489912,489912,489912,551151,
13,Rubber,Ton,1851881,1719604,1630960,2821120,2241468,2937932,
14,Sugarcane,Ton,-,38500,33000,33000,65000,100000,
15,Toddy Palm,Ton,-,-,-,-,-,-,4287000
16,Tobacco(Myanmar),Ton,2327500,3421000,3733320,2296500,2550000,2600000,
17,Tobacco(Virginia),Ton,1531250,-,-,-,-,-,
18,Betel nut,Ton,2813825,4044000,4044000,4776720,3735000,3735000,
19,Betel leaves,Ton,2615375,3733300,4355540,3858120,3960000,3960000,
20,Chillies (Dry),Ton,2792388,4277800,4355500,3062000,9750000,9750000,6124000
21,Chillies (Green),Ton,1188250,933300,933300,1775960,1788000,1788000,6124000
22,Onion,Ton,629650,1057800,1057800,612400,655000,985000,918000
23,Garlic,Ton,1186413,1804400,1866600,2204640,2385000,2385000,6736000
24,Potato,Ton,586775,644000,746600,1531000,1585000,1585000,
25,Coffee,Ton,3600000,3800000,4000000,5000000,5000000,5000000,
26,Tea (Green),Ton,1628025,1866660,1866660,2694560,2800500,2800500,
27,Coconut,Each,485,500,800,985,1500,1500,
28,Tapioca,Ton,475913,622000,622000,701198,712000,712000,
29,Plantain,Bunch,4654,3500,3500,9945,-,-,
30,Thanathpet,Ton,2143750,-,-,-,-,-,
31,Dhani,100 byits,52200,-,-,27000,30000,31500,
32,Pineapple,Ton,850000,900000,950000,1100000,1200000,1350000,
33,Fodder (Straw),100 bundle,60000,60000,60000,-,-,-,
