CropName,KnownTownships,KnownRegions,Latitude,Longitude,BaseYieldKgPerSqm,AvgMarketPriceMMK,PlantingSeason,HarvestingSeason,PredictedYieldPerSqmKg,PredictedTotalYieldKg,PredictedRevenueMMK,PredictedWaterCostMMK,PredictedLaborCostMMK,PredictedFertilizerCostMMK,PredictedProfitMMK,PlantingRecommendation,PlantingRationale,CareInfo,MarketInfo,Summary,KnownTownships_lower,KnownRegions_lower
Mango,Mandalay,Mandalay,21.574839,96.358457,,2150.0,Not available,Not available,0.85,85.5,183825.0,40500.0,,,51294.18,Plant at the beginning of the rainy season (May-Jun),Based on general regional suitability and crop timelines.,,,"Mango trees prefer tropical climates and deep, well-drained soils. Water regularly during flowering.",mandalay,mandalay
Onion,Mandalay,Mandalay,21.574839,96.358457,,2150.0,Not available,Not available,2.85,285.0,612750.0,22500.0,,,426104.46,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,"Onions are cool-season crops that grow best in well-drained, fertile soil with consistent moisture.",mandalay,mandalay
Peanut,Mandalay,Mandalay,21.574839,96.358457,,2150.0,Not available,Not available,0.36,35.62,76583.0,36000.0,,,-25115.22,May - Jul,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mandalay,mandalay
Maize,Sagaing,Sagaing,19.285937,95.438751,,1800.0,Not available,Not available,0.71,71.25,128250.0,36000.0,,,20390.71,May - Jul,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,sagaing,sagaing
Cotton,Sagaing,Sagaing,19.285937,95.438751,,1800.0,Not available,Not available,0.29,28.5,51300.0,31500.0,,,-63741.35,Apr - Jun,Based on general regional suitability and crop timelines.,,,"Cotton thrives in warm, dry regions. Needs well-drained soils and moderate irrigation.",sagaing,sagaing
Beans,Sagaing,Sagaing,19.285937,95.438751,,1800.0,Not available,Not available,0.85,85.5,153900.0,27000.0,,,61446.5,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Beans fix nitrogen in the soil and need moderate watering. They grow well in warm, sunny locations.",sagaing,sagaing
Sugarcane,Bago,Bago,18.675309,96.284729,,2425.0,Not available,Not available,5.7,570.0,1382250.0,54000.0,,,857799.93,Jan - Apr,Based on general regional suitability and crop timelines.,,,"Sugarcane grows best in sunny, warm regions with fertile soils. Needs abundant water.",bago,bago
Maize,Bago,Bago,18.675309,96.284729,,2425.0,Not available,Not available,0.71,71.25,172781.25,36000.0,,,62148.33,May - Jul,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,bago,bago
Rice,Bago,Bago,18.675309,96.284729,,2425.0,Not available,Not available,0.57,57.0,138225.0,67500.0,,,-12615.59,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,bago,bago
Groundnut,Magway,Magway,20.025374,94.825193,,2275.0,Not available,Not available,0.43,42.75,97256.25,22500.0,,,13412.09,May - Jul,Based on general regional suitability and crop timelines.,,,Groundnuts (peanuts) grow in sandy soils with moderate irrigation. Rotate crops for best yield.,magway,magway
Beans,Magway,Magway,20.025374,94.825193,,2275.0,Not available,Not available,0.85,85.5,194512.5,27000.0,,,101677.55,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Beans fix nitrogen in the soil and need moderate watering. They grow well in warm, sunny locations.",magway,magway
Sesame,Magway,Magway,20.025374,94.825193,,2275.0,Not available,Not available,0.36,35.62,81035.5,36000.0,,,-21888.54,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,"Sesame prefers sandy, well-drained soils and low rainfall. Drought-tolerant once established.",magway,magway
Sesame,Kayah,Kayah,18.735619,97.489834,,2525.0,Not available,Not available,0.36,35.62,89940.5,36000.0,,,-12785.13,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,"Sesame prefers sandy, well-drained soils and low rainfall. Drought-tolerant once established.",kayah,kayah
Groundnut,Kayah,Kayah,18.735619,97.489834,,2525.0,Not available,Not available,0.43,42.75,107943.75,22500.0,,,27142.85,May - Jul,Based on general regional suitability and crop timelines.,,,Groundnuts (peanuts) grow in sandy soils with moderate irrigation. Rotate crops for best yield.,kayah,kayah
Rice,Kayah,Kayah,18.735619,97.489834,,2525.0,Not available,Not available,0.57,57.0,143925.0,67500.0,,,-7162.58,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,kayah,kayah
Rice,Kayin,Kayin,16.899205,97.639214,,1700.0,Not available,Not available,0.57,57.0,96900.0,67500.0,,,-50654.25,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,kayin,kayin
Banana,Kayin,Kayin,16.899205,97.639214,,1700.0,Not available,Not available,2.14,213.75,363375.0,63000.0,,,171136.0,"Year-round, but best at the start of the monsoon",Based on general regional suitability and crop timelines.,,,"Bananas need rich, moist soils and frequent watering. Protect from wind and apply mulch.",kayin,kayin
Cassava,Kayin,Kayin,16.899205,97.639214,,1700.0,Not available,Not available,0.36,35.62,60554.0,36000.0,,,-33016.48,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,kayin,kayin
Rubber,Mon,Mon,16.586982,97.542392,,2650.0,Not available,Not available,0.36,35.62,94393.0,36000.0,,,-11966.62,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Cashew,Mon,Mon,16.586982,97.542392,,2650.0,Not available,Not available,0.36,35.62,94393.0,36000.0,,,-10813.37,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Betel Nut,Mon,Mon,16.586982,97.542392,,2650.0,Not available,Not available,0.36,35.62,94393.0,36000.0,,,-9599.49,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,mon,mon
Chickpea,Ayeyarwady,Ayeyarwady,17.635483,95.415839,,1475.0,Not available,Not available,0.36,35.62,52539.5,36000.0,,,-38965.56,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Chickpeas are drought-tolerant legumes, ideal for dry zones. Require minimal watering.",ayeyarwady,ayeyarwady
Rice,Ayeyarwady,Ayeyarwady,17.635483,95.415839,,1475.0,Not available,Not available,0.57,57.0,84075.0,67500.0,,,-61085.93,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,ayeyarwady,ayeyarwady
Sunflower,Ayeyarwady,Ayeyarwady,17.635483,95.415839,,1475.0,Not available,Not available,0.5,49.87,73558.25,31500.0,,,-13363.58,Sep - Oct,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,ayeyarwady,ayeyarwady
Vegetables,Naypyidaw,Naypyidaw,19.771624,96.106348,,2450.0,Not available,Not available,1.07,106.87,261831.5,31500.0,,,121296.92,Varies; typically start of Monsoon (May-Jun) or Cool-Dry (Oct-Nov),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,naypyidaw,naypyidaw
Paddy,Naypyidaw,Naypyidaw,19.771624,96.106348,,2450.0,Not available,Not available,0.57,57.0,139650.0,67500.0,,,-9516.58,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,naypyidaw,naypyidaw
Mango,Naypyidaw,Naypyidaw,19.771624,96.106348,,2450.0,Not available,Not available,0.85,85.5,209475.0,40500.0,,,67266.08,Plant at the beginning of the rainy season (May-Jun),Based on general regional suitability and crop timelines.,,,"Mango trees prefer tropical climates and deep, well-drained soils. Water regularly during flowering.",naypyidaw,naypyidaw
Potato,Shan,Shan,21.073948,97.041834,,2850.0,Not available,Not available,0.36,35.62,101517.0,36000.0,,,-5392.71,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,shan,shan
Tea,Shan,Shan,21.073948,97.041834,,2850.0,Not available,Not available,0.36,35.62,101517.0,36000.0,,,-34010.86,Year-round in suitable climates (highland),Based on general regional suitability and crop timelines.,,,"Tea plants grow best in humid, highland areas with acidic soils. Regular pruning improves leaf quality.",shan,shan
Strawberry,Shan,Shan,21.073948,97.041834,,2850.0,Not available,Not available,1.42,142.5,406125.0,36000.0,,,211263.81,Cool-Dry Season (Oct - Nov),Based on general regional suitability and crop timelines.,,,"Strawberries need cool temperatures, rich soil, and regular irrigation. Mulch to retain moisture.",shan,shan
Vegetables,Yangon,Yangon,16.785294,96.150843,,2050.0,Not available,Not available,1.07,106.87,219083.5,31500.0,,,87394.58,Varies; typically start of Monsoon (May-Jun) or Cool-Dry (Oct-Nov),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Paddy,Yangon,Yangon,16.785294,96.150843,,2050.0,Not available,Not available,0.57,57.0,116850.0,67500.0,,,-29291.51,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Lentil,Yangon,Yangon,16.785294,96.150843,,2050.0,Not available,Not available,0.29,28.5,58425.0,18000.0,,,-1370.18,Sep - Nov,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,yangon,yangon
Rubber,Tanintharyi,Tanintharyi,12.984135,99.868433,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-13415.5,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Oil Palm,Tanintharyi,Tanintharyi,12.984135,99.868433,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-11718.23,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Durian,Tanintharyi,Tanintharyi,12.984135,99.868433,,2600.0,Not available,Not available,0.36,35.62,92612.0,36000.0,,,-11643.77,Start of Monsoon (May - Jun),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,tanintharyi,tanintharyi
Rice,Rakhine,Rakhine,20.345983,93.350973,,1775.0,Not available,Not available,0.57,57.0,101175.0,67500.0,,,-42158.57,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,rakhine,rakhine
Chili,Rakhine,Rakhine,20.345983,93.350973,,1775.0,Not available,Not available,0.36,35.62,63225.5,36000.0,,,-30670.69,"Year-round, prefers warm and dry conditions",Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,rakhine,rakhine
Areca Nut,Rakhine,Rakhine,20.345983,93.350973,,1775.0,Not available,Not available,0.36,35.62,63225.5,36000.0,,,-36144.36,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,rakhine,rakhine
Potato,Chin,Chin,21.140284,93.597354,,1650.0,Not available,Not available,0.36,35.62,58773.0,36000.0,,,-42457.15,Cool-Dry Season (Nov - Feb),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,chin,chin
Corn,Chin,Chin,21.140284,93.597354,,1650.0,Not available,Not available,0.71,71.25,117562.5,36000.0,,,14434.75,May - Jul,Based on general regional suitability and crop timelines.,,,"Corn is a high-yield cereal crop, adaptable to many climates. It thrives in well-drained soils and full sunlight.",chin,chin
Millet,Chin,Chin,21.140284,93.597354,,1650.0,Not available,Not available,0.5,49.87,82285.5,22500.0,,,14077.68,Monsoon (May-Oct) or Dry Season (Nov-Apr),Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,chin,chin
Rice,Ayeyarwady,Ayeyarwady,17.497432,95.348191,,1450.0,Not available,Not available,0.57,57.0,82650.0,67500.0,,,-56231.81,Main Season: Jun - Aug | Second Season: Jan - Mar,Based on general regional suitability and crop timelines.,,,Rice is a staple food crop requiring abundant water and warm temperatures. Grows best in flooded fields.,ayeyarwady,ayeyarwady
Chickpea,Ayeyarwady,Ayeyarwady,17.497432,95.348191,,1450.0,Not available,Not available,0.36,35.62,51649.0,36000.0,,,-40546.46,Sep - Nov,Based on general regional suitability and crop timelines.,,,"Chickpeas are drought-tolerant legumes, ideal for dry zones. Require minimal watering.",ayeyarwady,ayeyarwady
Sunflower,Ayeyarwady,Ayeyarwady,17.497432,95.348191,,1450.0,Not available,Not available,0.5,49.87,72311.5,31500.0,,,-13830.91,Sep - Oct,Based on general regional suitability and crop timelines.,,,This is a commonly grown crop in this region.,ayeyarwady,ayeyarwady
